region,year,total_volume
SouthCarolina,2015,16245866.66
SouthCarolina,2016,18702858.0
SouthCarolina,2017,19968966.9
SouthCarolina,2018,5836081.34
SouthCentral,2015,290454593.99
SouthCentral,2016,304098699.59
SouthCentral,2017,325422615.77
SouthCentral,2018,91303709.48
Southeast,2015,160095209.06
Southeast,2016,198121477.65
Southeast,2017,196737251.86
Southeast,2018,60284470.54
Spokane,2015,4181687.17
Spokane,2016,5006166.54
Spokane,2017,5151528.3
Spokane,2018,1225893.47
StLouis,2015,9902575.24
StLouis,2016,10644475.6
StLouis,2017,8988122.5
StLouis,2018,2537659.99
Syracuse,2015,2734333.26
Syracuse,2016,3429368.7399999998
Syracuse,2017,3731978.02
Syracuse,2018,1046987.66
Tampa,2015,17131597.85
Tampa,2016,21680749.36
Tampa,2017,20550137.1
Tampa,2018,6642055.0
TotalUS,2015,1657255221.42
TotalUS,2016,1819159142.78
TotalUS,2017,1864693563.3799999
TotalUS,2018,523632254.21999997
West,2015,304670319.63
West,2016,344577335.01
West,2017,345054416.1
West,2018,92477085.01
WestTexNewMexico,2015,41523998.11
WestTexNewMexico,2016,43807431.6
WestTexNewMexico,2017,47389589.29
WestTexNewMexico,2018,11816717.16
